index,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrit,NumGE1500,PctGE1500,year
478,S,Los Angeles County Online High,Antelope Valley Union High,Los Angeles,167,0,,,,,,1516
479,S,Academies of the Antelope Valley,Antelope Valley Union High,Los Angeles,1,2,,,,,,1516
480,S,Antelope Valley High,Antelope Valley Union High,Los Angeles,389,146,407,398,400,14,9.59,1516
481,S,Desert Winds Continuation High,Antelope Valley Union High,Los Angeles,397,1,,,,,,1516
482,S,Palmdale High,Antelope Valley Union High,Los Angeles,647,201,434,421,420,39,19.4,1516
483,S,Quartz Hill High,Antelope Valley Union High,Los Angeles,755,305,502,497,488,139,45.57,1516
484,S,Highland High,Antelope Valley Union High,Los Angeles,735,276,476,473,466,105,38.04,1516
485,S,Littlerock High,Antelope Valley Union High,Los Angeles,337,119,445,412,426,12,10.08,1516
486,S,Lancaster High,Antelope Valley Union High,Los Angeles,531,196,459,455,442,51,26.02,1516
487,S,Desert Sands Charter,Antelope Valley Union High,Los Angeles,1182,3,,,,,,1516
488,D,,Arcadia Unified,Los Angeles,872,541,583,634,585,457,84.47,1516
489,S,Arcadia High,Arcadia Unified,Los Angeles,844,532,582,634,584,448,84.21,1516
490,S,Rancho Learning Center (Alternative),Arcadia Unified,Los Angeles,28,9,,,,,,1516
491,D,,Azusa Unified,Los Angeles,692,240,444,449,428,49,20.42,1516
492,S,Azusa High,Azusa Unified,Los Angeles,307,140,443,451,424,31,22.14,1516
493,S,Gladstone High,Azusa Unified,Los Angeles,276,100,445,445,433,18,18,1516
494,D,,Baldwin Park Unified,Los Angeles,2102,591,449,454,445,135,22.84,1516
495,S,Opportunities For Learning - Baldwin Park II,Baldwin Park Unified,Los Angeles,699,83,433,411,430,8,9.64,1516
496,S,Baldwin Park High,Baldwin Park Unified,Los Angeles,418,183,459,486,456,58,31.69,1516
497,S,Sierra Vista High,Baldwin Park Unified,Los Angeles,433,212,448,462,445,50,23.58,1516
498,S,Opportunities for Learning - Baldwin Park,Baldwin Park Unified,Los Angeles,293,113,446,421,438,19,16.81,1516
499,D,,Bassett Unified,Los Angeles,309,111,433,438,435,22,19.82,1516
500,S,Bassett Senior High,Bassett Unified,Los Angeles,266,111,433,438,435,22,19.82,1516
501,D,,Bellflower Unified,Los Angeles,1054,386,480,493,466,144,37.31,1516
502,S,Bellflower High,Bellflower Unified,Los Angeles,382,160,462,475,441,41,25.63,1516
503,S,Mayfair High,Bellflower Unified,Los Angeles,501,225,494,506,484,103,45.78,1516
504,S,Somerset Continuation High,Bellflower Unified,Los Angeles,165,1,,,,,,1516
505,D,,Beverly Hills Unified,Los Angeles,415,228,569,587,590,179,78.51,1516
506,S,Beverly Hills High,Beverly Hills Unified,Los Angeles,407,228,569,587,590,179,78.51,1516
